nom_commune,cog_commune,siren_commune,nuance_politique,famille_nuance
Val-De-Bonnieure,16300,200076933,LNC,Non classé
Saint-Aulais-La-Chapelle,16301,211603014,NC,Non classé
Saint-Avit,16302,211603022,NC,Non classé
Saint-Bonnet,16303,211603030,NC,Non classé
Saint-Brice,16304,211603048,NC,Non classé
Saint-Christophe,16306,211603063,NC,Non classé
Saint-Ciers-Sur-Bonnieure,16307,211603071,NC,Non classé
Saint-Claud,16308,211603089,LNC,Non classé
Saint-Coutant,16310,211603105,NC,Non classé
Saint-Cybardeaux,16312,211603121,NC,Non classé
Saint-Félix,16315,211603154,NC,Non classé
Saint-Fort-Sur-Le-Né,16316,211603162,NC,Non classé
Saint-Fraigne,16317,211603170,NC,Non classé
Saint-Front,16318,211603188,NC,Non classé
Saint-Genis-D'Hiersac,16320,211603204,NC,Non classé
Saint-Georges,16321,211603212,NC,Non classé
Saint-Germain-De-Montbron,16323,211603238,NC,Non classé
Saint-Gourson,16325,211603253,,
Saint-Groux,16326,211603261,NC,Non classé
Saint-Laurent-De-Céris,16329,211603295,NC,Non classé
Saint-Laurent-De-Cognac,16330,211603303,NC,Non classé
Saint-Laurent-Des-Combes,16331,211603311,NC,Non classé
Saint-Martial,16334,211603345,NC,Non classé
Saint-Martin-Du-Clocher,16335,211603352,NC,Non classé
Saint-Mary,16336,211603360,NC,Non classé
Saint-Maurice-Des-Lions,16337,211603378,NC,Non classé
Saint-Médard,16338,211603386,NC,Non classé
Val-D'Auge,16339,200085611,NC,Non classé
Saint-Même-Les-Carrières,16340,211603402,LNC,Non classé
Saint-Michel,16341,211603410,LNC,Non classé
Saint-Palais-Du-Né,16342,211603428,NC,Non classé
Saint-Preuil,16343,211603436,NC,Non classé
Saint-Quentin-Sur-Charente,16345,211603451,NC,Non classé
Saint-Quentin-De-Chalais,16346,211603469,NC,Non classé
Saint-Romain,16347,211603477,NC,Non classé
Saint-Saturnin,16348,211603485,,
Sainte-Sévère,16349,211603493,NC,Non classé
Saint-Séverin,16350,211603501,,
Saint-Simon,16352,211603527,NC,Non classé
Saint-Sornin,16353,211603535,NC,Non classé
Sainte-Souline,16354,211603543,NC,Non classé
Saint-Sulpice-De-Ruffec,16356,211603568,NC,Non classé
Saint-Vallier,16357,211603576,NC,Non classé
Saint-Yrieix-Sur-Charente,16358,211603584,LDVG,Gauche
Salles-D'Angles,16359,211603592,,
