Libellé de la commune,Code de la commune,Nom de l'élu,Prénom de l'élu,Date de début du mandat
Songeson,39518,CATTET,Jean-Luc,28/06/2020
Soucia,39519,DUMONT-GIRARD,Philippe,18/05/2020
Souvans,39520,BRUGNOT,Eric,28/06/2020
Supt,39522,COMTE,Evelyne,18/05/2020
Syam,39523,GOBET,Hervé,18/05/2020
Tassenières,39525,PETITJEAN,Christian,28/06/2020
Tavaux,39526,DAUBIGNEY,Jean-Michel,18/05/2020
Taxenne,39527,DUVERNOIS,Ludovic,18/05/2020
Thervay,39528,ECARNOT,Stéphane,28/06/2020
Thésy,39529,BERTHOD,Marie-Christine,28/06/2020
Thoirette-Coisia,39530,BRUNET,Hervé,18/05/2020
Thoiria,39531,STEYAERT,Frank,18/05/2020
Thoissia,39532,GANDILLET,Claude,28/06/2020
Toulouse-Le-Château,39533,KRYZEK,Jean-Christian,18/05/2020
La Tour-Du-Meix,39534,PARÉ,Sandra,18/05/2020
Tourmont,39535,SUSSOT,Florence,18/05/2020
Trenal,39537,LUCIUS,Marie-France,18/05/2020
Uxelles,39538,BAILLY,François,18/05/2020
Vadans,39539,DORBON,Henri,18/05/2020
Valempoulières,39540,GAVIGNET,Alain,18/05/2020
Vannoz,39543,MENETRIER,Philippe,18/05/2020
Le Vaudioux,39545,DRECQ,Christian,18/05/2020
Vaudrey,39546,PATE,Virginie,18/05/2020
Vaux-Lès-Saint-Claude,39547,HUGUES,Guy,18/05/2020
Verges,39550,FAIVRE,Emmanuel,18/05/2020
Véria,39551,GAGLIARDI,Marc-Antoine,18/05/2020
Vernantois,39552,PYON,Monique,18/05/2020
Le Vernois,39553,LEGRAND,Denis,18/05/2020
Vers-En-Montagne,39554,BEZIN,Emile,18/05/2020
Vers-Sous-Sellières,39555,BRULEBOIS,Jean-Louis,18/05/2020
Vertamboz,39556,DUFOUR,Christiane,18/05/2020
Vescles,39557,BOISSON,Jean-Pierre,28/06/2020
Vevy,39558,JANIER,Claude,18/05/2020
La Vieille-Loye,39559,BIGUEUR,Alain,18/05/2020
Villard-Saint-Sauveur,39560,MONNERET,Daniel,18/05/2020
Villards-D'Héria,39561,BONDIER,Jean-Robert,28/06/2020
Villeneuve D'Aval,39565,MAIROT,Daniel,18/05/2020
Villeneuve-Sous-Pymont,39567,BOURDY,Claude,18/05/2020
Villerserine,39568,BONTEMPS,Michel,18/05/2020
Villers Farlay,39569,JUNOD,Annie,28/06/2020
Villers-Les-Bois,39570,ARNAUD,Gérard,28/06/2020
Villers-Robert,39571,HOFFMANN,Maurice,18/05/2020
Villette-Lès-Arbois,39572,ONCLE,Bernard,28/06/2020
Villette-Lès-Dole,39573,LEGRAND,Jean-Luc,18/05/2020
Villevieux,39574,BOUVIER,Pascal,18/05/2020
Villey (Le),39575,GUICHARD,Sébastien Robert Maurice,18/05/2020
Val-Sonnette,39576,MONNET,Brigitte,01/01/2025
Vincent-Froideville,39577,MULAT,Alexandre,18/05/2020
Viry,39579,BLONDET,Alain,18/05/2020
Vitreux,39581,GOMOT,Alain,18/05/2020
Voiteur,39582,LINDA,Corinne,18/05/2020
Vosbles-Valfin,39583,RAVIER,Pascal,28/06/2020
Vriange,39584,LAGNIEN,Jacques,18/05/2020
Vulvoz,39585,JACQUENOD,Daniel,18/05/2020
Aresches,39586,HENARD,Stéphane,18/05/2020
Arblade-Le-Bas,32004,LEBLOND,Stéphane,18/05/2020
Aurensan,32017,DUPOUTS,Roland,18/05/2020
Barcelonne-Du-Gers,32027,BERDOULET,Cédric,18/05/2020
Bernède,32046,SAINT-GENEZ,Daniel,18/05/2020
Corneillan,32108,CARREAU,Pascal,18/05/2020
Gée-Rivière,32145,BAQUIE,Pascal,18/05/2020
Lannux,32192,GIJSBERS,Lambert,18/05/2020
Projan,32333,PARGADE,Jacques,18/05/2020
Ségos,32424,SILVEIRA MORAIS,Philippe,18/05/2020
Vergoignan,32460,MARQUE,Michel,18/05/2020
Aire-Sur-L'Adour,40001,LAGRAVE,Xavier,28/06/2020
Amou,40002,BERGEZ,Florence,18/05/2020
Angoumé,40003,AUDOUY,Véronique,18/05/2020
Angresse,40004,SARDELUC,Philippe,18/05/2020
Arboucave,40005,LAFFITTE,Jean,18/05/2020
Arengosse,40006,DUBROCA,Jean-Luc,18/05/2020
Argelos,40007,LASSALLE,Fabienne,18/05/2020
Argelouse,40008,LALANNE,Joël,28/06/2020
Arsague,40011,HAURAT,Jean-Yves,18/05/2020
Artassenx,40012,LALANNE,Éveline,18/05/2020
Arthez-D'Armagnac,40013,BRUNELLO,Jean-Philippe,18/05/2020
Arue,40014,DUPRAT,Frédéric,18/05/2020
Arx,40015,PETER,Patricia,18/05/2020
Aubagnan,40016,DARTHOS,Vincent,18/05/2020
Audignon,40017,PRUET,Marcel,18/05/2020
Audon,40018,NOLIBOIS,Laurent,18/05/2020
Aureilhan,40019,SAINT-JOURS,Jean-Richard,18/05/2020
Aurice,40020,LAFITTE,Frédéric,18/05/2020
Azur,40021,DUHIEU,Dominique,18/05/2020
Bahus-Soubiran,40022,BOULIN,Thierry,18/05/2020
Baigts,40023,DUBECQ,Francis,18/05/2020
Banos,40024,LAPORTE,Jean-Louis,18/05/2020
Bascons,40025,RAULIN,Nicolas,28/06/2020
Bas-Mauco,40026,HINX,Séverine,18/05/2020
Bassercles,40027,CAZENAVE,Jean-Pierre,18/05/2020
Bastennes,40028,DULAYET,Jean-Maurice,18/05/2020
Bats,40029,DUPOUY,Jean-Marc,18/05/2020
Baudignan,40030,DUZAN,Gérard,18/05/2020
Bégaar,40031,POUSSARD,Jean-Pierre,18/05/2020
Bélis,40033,RENAUD,Marylène,18/05/2020
Bélus,40034,DURQUETY,Rachel,18/05/2020
Bénesse-Lès-Dax,40035,ABADIE,Jean-Marie,18/05/2020
Bénesse-Maremne,40036,MONET,Jean-François,18/05/2020
Benquet,40037,MALLET,Pierre,18/05/2020
Bergouey,40038,LAVILLE,Sandrine,18/05/2020
Betbezer-D'Armagnac,40039,BORDES,Pascal,18/05/2020
Beylongue,40040,BATBY,Jean,08/10/2023
Beyries,40041,HILLOTTE,Martine,18/05/2020
Biarrotte,40042,SEGUI,Hervé,18/05/2020
Bias,40043,ETCHEVERRIA,Elisabeth,18/05/2020
Biaudos,40044,LARRE,Jean-Marc,18/05/2020
Biscarrosse,40046,LARREZET,Hélène,28/06/2020
Bonnegarde,40047,LARROUTURE,Didier,18/05/2020
Bordères-Et-Lamensans,40049,OGÉ,Philippe,18/05/2020
Bostens,40050,BOIARDI,Nathalie,18/05/2020
Bougue,40051,BACHÉ,Jean-Guy,28/06/2020
Bourdalat,40052,DARQUIER,Eric,18/05/2020
Bourriot-Bergonce,40053,LALAGÜE,Nadine,18/05/2020
Brassempouy,40054,TOULOUSE,Dominique,28/06/2020
Bretagne-De-Marsan,40055,CLAVÉ,Dominique,18/05/2020
Brocas,40056,BLANC-SIMON,Jean-Luc,18/05/2020
Buanes,40057,LAMOTHE,Michel,28/06/2020
Cachen,40058,LANGLADE,Marie-Rose,18/05/2020
Cagnotte,40059,BACHERE,Robert,18/05/2020
Callen,40060,BOUFFIN,Yann,28/06/2020
Campagne,40061,CARRERE,Frédéric,18/05/2020
Campet-Et-Lamolère,40062,LABEYRIE,Emilie,18/05/2020
Candresse,40063,DUTOYA,Guylaine,18/05/2020
Canenx-Et-Réaut,40064,FAUVERGUE,Jean-Louis,18/05/2020
Capbreton,40065,GALDOS,Louis,18/05/2020
Carcarès-Sainte-Croix,40066,PROSPER,Michèle,18/05/2020
Carcen-Ponson,40067,DEHEZ,Sabine,18/05/2020
Cassen,40068,GAUGEACQ,Didier,18/05/2020
Castaignos-Souslens,40069,LACAVE,Georges,18/05/2020
Castandet,40070,DUCLAVE,Jean-Michel,18/05/2020
Castelnau-Chalosse,40071,FOURNADET,Christine,18/05/2020
Castelnau-Tursan,40072,GUICHANE,Roland,18/05/2020
Castelner,40073,LASTES,Dominique,18/05/2020
Castel-Sarrazin,40074,NOVEMBRE,Philippe,18/05/2020
Castets,40075,MOUHEL,Philippe,18/05/2020
Cauna,40076,CARDONNE,Daniel,18/05/2020
Cauneille,40077,DAMIANI,Christian,18/05/2020
Caupenne,40078,LALANNE,Ghislaine,18/05/2020
Cazalis,40079,CASTETS,Didier,18/05/2020
Cazères-Sur-L'Adour,40080,DELEPAU,Jean-François,11/04/2021
Cère,40081,BAREYT,Michel,18/05/2020
Classun,40082,LALANNE,Jean-Michel,18/05/2020
Clèdes,40083,LAMUDE,Patricia,18/05/2020
Clermont,40084,VIDAL,Benoît,18/05/2020
Commensacq,40085,CABANAC,Richard,18/05/2020
Coudures,40086,BANCONS,Benoît,18/05/2020
Créon-D'Armagnac,40087,DUPOUY,Catherine,18/05/2020
Dax,40088,DUBOIS,Julien,18/05/2020
Doazit,40089,DARGET,Frédéric,18/05/2020
Donzacq,40090,LABORDE,Thierry,18/05/2020
Duhort-Bachen,40091,LAFARGUE,Vincent,18/05/2020
Dumes,40092,BEDIN,Franck,18/05/2020
Escalans,40093,BARRERE,Jean,18/05/2020
Escource,40094,LASTERRA,Pierre,18/05/2020
Estibeaux,40095,LABORDE,Philippe,18/05/2020
Estigarde,40096,HERRERO,Michel,18/05/2020
Eugénie-Les-Bains,40097,BRETHES,Philippe,18/05/2020
Eyres-Moncube,40098,LABADIE,Bernard,18/05/2020
Fargues,40099,PINEAU,Philippe,18/05/2020
Le Frêche,40100,BOUGUE,Nadine,18/05/2020
Gaas,40101,CAZENAVE,Isabelle,18/05/2020
Gabarret,40102,BARLAUD,Stéphane,18/05/2020
Gaillères,40103,BERGALET,Catherine,28/06/2020
Gamarde-Les-Bains,40104,CURUTCHET,Jerome,18/05/2020
Garein,40105,SARTRE,Philippe,18/05/2020
Garrey,40106,OMICIUOLO,Chantal,18/05/2020
Gastes,40108,DOUSTE,Françoise,18/05/2020
Gaujacq,40109,ROHFRITSCH,Jean,18/05/2020
Geaune,40110,COUTURE,Gilles,18/05/2020
Geloux,40111,ETCHEVERRY,Maylis,18/05/2020
Gibret,40112,ABOZE,Didier,18/05/2020
Goos,40113,LABORDE,Patrick,18/05/2020
Gourbera,40114,CASTEL,Philippe,18/05/2020
Gousse,40115,LAUREDE,Fabrice,18/05/2020
Gouts,40116,SAUGNAC,Nicolas,18/05/2020
Grenade-Sur-L'Adour,40117,LACOUTURE,Odile,18/05/2020
Habas,40118,LATASTE,Jean-François,18/05/2020
Hagetmau,40119,REQUENNA,Pascale,18/05/2020
Hastingues,40120,DE PASSOS,Corine,28/06/2020
Hauriet,40121,MAN,Patrick,18/05/2020
Haut-Mauco,40122,LANNE,Gilbert,18/05/2020
Herm,40123,LAVIGNE,Pascal,18/05/2020
Herré,40124,APPOLINAIRE,Brigitte,18/05/2020
Heugas,40125,POMAREZ,Serge,18/05/2020
Hinx,40126,TOMAS,Hélène,18/05/2020
Hontanx,40127,DEJEAN,Jean-Louis,18/05/2020
Horsarrieu,40128,DUMARTIN,Denis,18/05/2020
Josse,40129,BENOIST,Patrick,18/05/2020
Labastide-Chalosse,40130,BRISÉ,Roland,18/05/2020
Labastide-D'Armagnac,40131,GAUBE,Alain,18/05/2020
Labatut,40132,DUPONT,Bernard,18/05/2020
Labenne,40133,CHESSOUX,Stéphanie,18/05/2020
Labouheyre,40134,PÉDEUBOY,Jean-Louis,18/05/2020
Labrit,40135,COUTIERE,Dominique,18/05/2020
Lacajunte,40136,BOULIN,Christian,18/05/2020
Lacquy,40137,ROUSSARIE,Patrick,18/05/2020
Lacrabe,40138,TEULÉ,Philippe,18/05/2020
Laglorieuse,40139,DE VALICOURT,Marc,18/05/2020
Lagrange,40140,BISTER,Anthony,08/09/2024
Lahosse,40141,CAPDEVILLE,Jean-Louis,18/05/2020
Laluque,40142,MARTINEZ,Christophe,18/05/2020
Lamothe,40143,DAUGREILH-DUBOURG,Sylvie,18/05/2020
Larbey,40144,DANGOUMAU,Michel,18/05/2020
Larrivière,40145,LARROSE,Christophe,18/05/2020
Latrille,40146,FABÈRES,Nadine,18/05/2020
Laurède,40147,ROUSSEL,Michel,18/05/2020
Lauret,40148,CABANNE,Stéphane,18/05/2020
Lencouacq,40149,MESPLES,Olga,18/05/2020
Léon,40150,MORA,Jean,18/05/2020
Lesgor,40151,POSTIS,Patrick,18/05/2020
Lesperon,40152,COUSSEAU,Hélène,18/05/2020
Le Leuy,40153,BIBES,Thierry,18/05/2020
Lévignacq,40154,CAULE,Jean-Claude,28/06/2020
Linxe,40155,GALLEA,Thierry,18/05/2020
Liposthey,40156,POUJOUX,Michel,18/05/2020
Lit-Et-Mixe,40157,NAPIAS,Gérard,18/05/2020
Losse,40158,LACOSTE,Bruno,18/05/2020
Louer,40159,FRITSCH,Jérôme,18/05/2020
Lourquen,40160,DUFAU,Jean-Jacques,18/05/2020
Lubbon,40161,CAPOT,Marie Joëlle Marielle,18/05/2020
Lucbardez-Et-Bargues,40162,COUMAT,Claude,18/05/2020
Lüe,40163,CASSAGNE,Patricia,18/05/2020
Retjons,40164,CLAVE,Virginie,28/06/2020
Luglon,40165,MUSSOU,François,18/05/2020
Lussagnet,40166,LAFITE,Jean-Claude,18/05/2020
Luxey,40167,SORE,Serge,18/05/2020
Magescq,40168,SOUMAT,Alain,18/05/2020
Maillas,40169,DARROMAN,Jean-Luc,18/05/2020
Maillères,40170,COUTIERE,Jeanne,18/05/2020
Mano,40171,BOULANGER-BANET,Joëlle,28/06/2020
Mant,40172,PRUGUE,Michel,18/05/2020
Marpaps,40173,DUGACHARD,Bernard,18/05/2020
Mauries,40174,GRANGÉ,Philippe,28/06/2020
Maurrin,40175,LAFENETRE,Jean-Luc,18/05/2020
Mauvezin-D'Armagnac,40176,LEQUERTIER,Antoine,18/05/2020
Maylis,40177,LAILHEUGUE,Anne-Marie,18/05/2020
Mazerolles,40178,DEMÉMES,Catherine,18/05/2020
Mées,40179,IRIGOYEN,Sophie,18/05/2020
Meilhan,40180,LOUBERE,Patricia,18/05/2020
Messanges,40181,BOUYRIE,Hervé,18/05/2020
Mézos,40182,FERDANI,Gilles,18/05/2020
Mimbaste,40183,BARGELES,Lionel,18/05/2020
Mimizan,40184,POMAREZ,Frédéric,28/06/2020
Miramont-Sensacq,40185,BEAUMONT,Pascal,18/05/2020
Misson,40186,MAGESCAS,Bernard,18/05/2020
Moliets-Et-Maa,40187,MARCHAND,Aline,18/05/2020
Momuy,40188,NOGUES,David,18/05/2020
Monget,40189,GUICHENÉ,Christian,18/05/2020
Monségur,40190,CAZAUBIEILH,Dominique,18/05/2020
Montaut,40191,LARRERE,Anne-Marie,18/05/2020
Mont-De-Marsan,40192,DAYOT,Charles,18/05/2020
Montégut,40193,BRANCO,Christine,30/01/2022
Montfort-En-Chalosse,40194,DARRICAU,Jean-Marie,18/05/2020
Montgaillard,40195,PASSARD,Patrick,18/05/2020
Montsoué,40196,DEHEZ,Jean-Jacques,18/05/2020
Morcenx-La-Nouvelle,40197,CARRÈRE,Paul,18/05/2020
Morganx,40198,LALANNE,Jean-Pascal,18/05/2020
Mouscardès,40199,GOMES,Véronique,18/05/2020
Moustey,40200,ICHARD,Vincent,28/06/2020
Mugron,40201,BRETTES,Marie-Christine,18/05/2020
Narrosse,40202,SABOURAULT,Bérengère,18/05/2020
Nassiet,40203,LAPOS,Karine,18/05/2020
Nerbis,40204,DEGOS,Eric,18/05/2020
Nousse,40205,JACQUELINE,Valérie,18/05/2020
Oeyregave,40206,LASSERRE,Serge,18/05/2020
Oeyreluy,40207,LAFFITTE,Philippe,18/05/2020
Onard,40208,MAURY,Martine,18/05/2020
Ondres,40209,BELIN,Eva,28/06/2020
Onesse-Et-Laharie,40210,PRADÈRE,Frédéric,18/05/2020
Orist,40211,MAMOSER,Gisèle,18/05/2020
Orthevielle,40212,MOUSTIE,Didier,18/05/2020
Orx,40213,DESCLAUX,Bertrand,18/05/2020
Ossages,40214,CALOONE,Thierry,18/05/2020
Ousse-Suzan,40215,PERSILLON,Jacky,18/05/2020
Ozourt,40216,LANUQUE,Véronique,18/05/2020
Parentis-En-Born,40217,NADAU,Marie-Françoise,28/06/2020
Parleboscq,40218,TINTANÉ,Serge,18/05/2020
Payros-Cazautets,40219,DULUCQ,Alain,18/05/2020
Pécorade,40220,LAFENËTRE,Michel,18/05/2020
Perquie,40221,ARRESTAT,Jean-Yves,18/05/2020
Pey,40222,DUCAMP,Roland,18/05/2020
Peyre,40223,DARRIBERE,Chantal,18/05/2020
Peyrehorade,40224,SAKELLARIDES,Didier,18/05/2020
Philondenx,40225,LABAT,Céline,18/05/2020
Pimbo,40226,PASSICOS,André,18/05/2020
Pissos,40227,SAINTORENS,Denis,18/05/2020
Pomarez,40228,CASSIAU,Pascal,18/05/2020
Pontenx-Les-Forges,40229,THÉBAULT,Henri-Jean Raymond,18/05/2020
Pontonx-Sur-L'Adour,40230,UROLATEGUI,Dominique,18/05/2020
Port-De-Lanne,40231,BRETHOUS,Valérie,18/05/2020
Poudenx,40232,LALAUDE,Francis,18/05/2020
Pouillon,40233,LE PICHON,Thierry,18/05/2020
Pouydesseaux,40234,GLEYZE,Véronique,18/05/2020
Poyanne,40235,LABY FAUTHOUX,Fabienne,18/05/2020
Poyartin,40236,DARTIGUELONGUE,Thierry,18/05/2020
Préchacq-Les-Bains,40237,CAZENEUVE,Daniel,18/05/2020
Pujo-Le-Plan,40238,LESPARRE,Florence,18/05/2020
Puyol-Cazalet,40239,LABENNE,Jacques,18/05/2020
Renung,40240,SAINT-GERMAIN,Dominique,18/05/2020
Rimbez-Et-Baudiets,40242,LAFON,Nicolas,18/05/2020
Rion-Des-Landes,40243,CIVEL,Laurent,18/05/2020
Rivière-Saas-Et-Gourby,40244,DARRIGADE,Hervé,18/05/2020
Roquefort,40245,HUBERT,François,18/05/2020
Sabres,40246,MOREAU,Gérard,18/05/2020
Saint-Agnet,40247,DOREILH,Jean-Paul,18/05/2020
Saint-André-De-Seignanx,40248,BAYLET,Jean,18/05/2020
Saint-Aubin,40249,CRABOS,Francis,28/06/2020
Saint-Avit,40250,GARCIA,Michel,18/05/2020
Saint-Barthélemy,40251,CACHENAUT,Sabrina,18/05/2020
Sainte-Colombe,40252,DUTOYA,Philippe,18/05/2020
Saint-Cricq-Chalosse,40253,LABORDE,Aimée,18/05/2020
Saint-Cricq-Du-Gave,40254,BAUBION-BROYE,Guy,18/05/2020
Saint-Cricq-Villeneuve,40255,BUCLON,Ghislaine,18/05/2020
Saint-Etienne-D'Orthe,40256,DIOT,Alain,18/05/2020
Sainte-Eulalie-En-Born,40257,COMET,Bernard,18/05/2020
Sainte-Foy,40258,PAULIAT,Didier,18/05/2020
Saint-Gein,40259,CATUHE,Jean-Pierre,18/05/2020
Saint-Geours-D'Auribat,40260,DUCOURNAU,Yves,18/05/2020
Saint-Geours-De-Maremne,40261,DIRIBERRY,Mathieu,18/05/2020
Saint-Gor,40262,DEPOUMPS,Guillaume,18/05/2020
Saint-Jean-De-Lier,40263,DUBOS,Thierry,18/05/2020
Saint-Jean-De-Marsacq,40264,LIBIER,Marie-Thérèse,18/05/2020
Saint-Julien-D'Armagnac,40265,DUCOUDRÉ,Sophie,18/05/2020
Saint-Julien-En-Born,40266,DUCOUT,Gilles,18/05/2020
Saint-Justin,40267,LATRY,Philippe,18/05/2020
Saint-Laurent-De-Gosse,40268,CAZALIS,Isabelle,18/05/2020
Saint-Lon-Les-Mines,40269,LARRODÉ,Roger,18/05/2020
Saint-Loubouer,40270,DUFAU,Jean-Jacques,18/05/2020
Sainte-Marie-De-Gosse,40271,BETBEDER,Francis,18/05/2020
Saint-Martin-De-Hinx,40272,LAPEGUE,Alexandre,18/05/2020
Saint-Martin-De-Seignanx,40273,FICHOT,Julien,18/05/2020
Saint-Martin-D'Oney,40274,SAËS,Philippe,18/05/2020
Saint-Maurice-Sur-Adour,40275,BRETHOUS,Jean-Pierre,18/05/2020
Saint-Michel-Escalus,40276,CLAVERY,Didier,18/05/2020
Saint-Pandelon,40277,CARRERE,Christian,18/05/2020
Saint-Paul-En-Born,40278,PUJOS,Éliane,18/05/2020
Saint-Paul-Lès-Dax,40279,BAZUS,Julien,28/06/2020
Saint-Perdon,40280,DARRIEUTORT,Jean-Louis,18/05/2020
Saint-Pierre-Du-Mont,40281,BONNET,Joël,28/06/2020
Saint-Sever,40282,TAUZIN,Arnaud,18/05/2020
Saint-Vincent-De-Paul,40283,BEDAT,Henri,18/05/2020
Saint-Vincent-De-Tyrosse,40284,GELEZ,Regis,28/06/2020
Saint-Yaguen,40285,LARRIEU,Jacques,18/05/2020
Samadet,40286,TASTET,Bernard,18/05/2020
Sanguinet,40287,LAINÉ,Fabien,18/05/2020
Sarbazan,40288,LAMARQUE,Philippe,18/05/2020
Sarraziet,40289,MAKOWIECKI,Béatrice,18/05/2020
Sarron,40290,DAUGREILH,Marie-Line,28/06/2020
Saubion,40291,DE ARTECHE,Sylvie,18/05/2020
Saubrigues,40292,DARETS,Benoît,18/05/2020
Saubusse,40293,LAHILLADE,Eric,18/05/2020
Saugnac-Et-Cambran,40294,BERGERAS,Alain,18/05/2020
Saugnac-Et-Muret,40295,VAYSSE,Ludovic,18/05/2020
Seignosse,40296,PECASTAINGS,Pierre,26/11/2023
Le Sen,40297,PUYBARAUD,Jean-Pierre,18/05/2020
Serres-Gaston,40298,DUFOURCQ,Didier,18/05/2020
Serreslous-Et-Arribans,40299,LAFARGUE-ANACLET,Geneviève,18/05/2020
Seyresse,40300,DELMON,Philippe,18/05/2020
Siest,40301,LANGOUANERE,Bernard,18/05/2020
Solférino,40303,PIEDANNA,Raymonde,18/05/2020
Soorts-Hossegor,40304,VIGNAUD,Christophe,28/06/2020
Sorbets,40305,DUBICQ,Gilbert,18/05/2020
Sorde-L'Abbaye,40306,LABORDE,Marie-Françoise,28/06/2020
Sore,40307,GELLEY,Vincent,18/05/2020
Sort-En-Chalosse,40308,BERNADET,Pascal,18/05/2020
Souprosse,40309,DUCOS,Christian,18/05/2020
Soustons,40310,CHARPENEL,Frédérique,18/05/2020
Taller,40311,LUCIANO,Claire,18/05/2020
Tarnos,40312,MABILLET,Marc,18/05/2020
Tartas,40313,BROQUERES,Jean-François,18/05/2020
Tercis-Les-Bains,40314,CHAHINE,Hikmat,18/05/2020
Téthieu,40315,DUBOURDIEU,Alain,18/05/2020
Tilh,40316,LAGELOUZE,Annie,28/06/2020
Tosse,40317,DAULOUÈDE,Jean Claude,18/05/2020
Toulouzette,40318,LALANNE,Guillaume,18/05/2020
Trensacq,40319,LACAZE,Isabelle,18/05/2020
Uchacq-Et-Parentis,40320,CAPDEVIOLLE,Denis,18/05/2020
Urgons,40321,DUFOURCQ,Roland,18/05/2020
Uza,40322,LEBLOND,Jean-Jacques,18/05/2020
Vert,40323,LANUSSE,Denis,18/05/2020
Vicq-D'Auribat,40324,HONTANS,Pascal,18/05/2020
Vielle-Tursan,40325,LABORDE,Benoît,18/05/2020
Vielle-Saint-Girons,40326,DASQUET,Karine Bertine,18/05/2020
Vielle-Soubiran,40327,LAURON,Sylvie,18/05/2020
Vieux-Boucau-Les-Bains,40328,FROUSTEY,Pierre,18/05/2020
Le Vignau,40329,DAUGA,Patrick,18/05/2020
Villenave,40330,DURAND,Jacques,18/05/2020
Villeneuve-De-Marsan,40331,CAMPAGNE,Patrick,18/05/2020
Ychoux,40332,CASTAGNÈDE,Vincent,18/05/2020
Ygos-Saint-Saturnin,40333,REMY,Jean-Pierre Albert Jules,18/05/2020
Yzosse,40334,BOURDILLAS,Thierry,18/05/2020
Ambloy,41001,BOULAY,Lydie,18/05/2020
Angé,41002,BOISGARD,Daniel,11/10/2020
Areines,41003,JEANTHEAU,Nicole,18/05/2020
Artins,41004,HUGUET,Patrick,18/05/2020
Autainville,41006,PELLE,Christelle,18/05/2020
Authon,41007,CINTRAT,Marie-José,18/05/2020
Avaray,41008,MÉZILLE,Jean-François,18/05/2020
Averdon,41009,MOELO,Didier,18/05/2020
Azé,41010,BOULAY,Maryvonne,18/05/2020
Baillou,41012,PELLETIER,Jean-Luc,18/05/2020
Bauzy,41013,LEMAIGNEN,Henry,18/05/2020
Beauchêne,41014,TOMPA,Vincent,18/05/2020
Billy,41016,GARNIER,Nicolas,18/05/2020
Blois,41018,GRICOURT,Marc,18/05/2020
Boisseau,41019,GAULANDEAU,Marc,18/05/2020
Bonneveau,41020,HUARD,Mickaël,28/06/2020
Bouffry,41022,SORIA,Monique,18/05/2020
Boursay,41024,ROBINET,Jean-Paul,18/05/2020
Bracieux,41025,PAILLOUX,Hélène,18/05/2020
Brévainville,41026,BRUNET,Dominique,18/05/2020
Briou,41027,BLOQUET-MASSIN,Catherine,18/05/2020
Busloup,41028,DEFREMONT,Marcel,18/05/2020
Candé-Sur-Beuvron,41029,LEDOUX,Stéphane,18/05/2020
Cellé,41030,GERBAUD,Jean-Claude,28/06/2020
Cellettes,41031,RUTARD,Joël,28/06/2020
Chailles,41032,MARMAGNE,Florent,27/11/2022
Chambord,41034,JOLY,André,18/05/2020
Champigny-En-Beauce,41035,REDOUIN,Christophe,18/05/2020
Chaon,41036,MORIN,Patrick,18/05/2020
La Chapelle-Enchérie,41037,CASSANT,Alexandra,28/06/2020
La Chapelle-Montmartin,41038,CHEVALIER,Anne-Laure,18/05/2020
La Chapelle-Saint-Martin-En-Plaine,41039,BRINDEAU,Sandrine,28/06/2020
La Chapelle-Vendômoise,41040,BORDE,François,18/05/2020
La Chapelle-Vicomtesse,41041,BELOEIL,Yves,18/05/2020
Châteauvieux,41042,SAUX,Christian,18/05/2020
Châtillon-Sur-Cher,41043,POMA,Alain,18/05/2020
Châtres-Sur-Cher,41044,DE CARFORT,Claude,18/05/2020
Chaumont-Sur-Loire,41045,MARSEAULT,Baptiste,18/05/2020
Chaumont-Sur-Tharonne,41046,AUGER,Laurent,18/05/2020
La Chaussée-Saint-Victor,41047,BAUDU,Stéphane,18/05/2020
Chauvigny-Du-Perche,41048,PÉRIN,Danielle,18/05/2020
Chémery,41049,THEVENET,Anne-Marie,18/05/2020
Cheverny,41050,GALLARD,Lionella,18/05/2020
Chissay-En-Touraine,41051,PLASSAIS,Philippe,18/05/2020
Chitenay,41052,BOULAY,Jean Albert,18/05/2020
Choue,41053,GAULLIER,François,18/05/2020
Choussy,41054,GOSSEAUME,Thierry,18/05/2020
Valloire-Sur-Cisse,41055,LHERITIER,Catherine,18/05/2020
Conan,41057,THEOPHILE,Olivier,28/06/2020
Concriers,41058,HUGUET,Pascal,18/05/2020
Le Controis-En-Sologne,41059,LELARGE,Antoine,18/05/2020
Cormenon,41060,BOULAY,Gilles,18/05/2020
Cormeray,41061,PASQUET,Joël,18/05/2020
Couddes,41062,RABUSSEAU,Jean-Pierre,28/06/2020
Couffy,41063,EPIAIS,Jean-Pierre,18/05/2020
Coulommiers-La-Tour,41065,SOUVRAIN,Alain,18/05/2020
Courbouzon,41066,FOUCHER,Laurent,18/05/2020
Cour-Cheverny,41067,CROISSANDEAU,François,20/09/2020
Courmemin,41068,CHANTIER,Gilles,18/05/2020
Cour-Sur-Loire,41069,GONCALVES,Annie,18/05/2020
Vallée-De-Ronsard,41070,MERCIER,Philippe,18/05/2020
Crouy-Sur-Cosson,41071,SORIN,Claudette,18/05/2020
Crucheray,41072,BARBIER,Bruno,18/05/2020
Danzé,41073,SIFANTUS,Thierry,18/05/2020
Dhuizon,41074,BUFFET,Michel,18/05/2020
Droué,41075,MONNIER,Catherine,18/05/2020
Epiais,41077,PEIGNANT,Michel,18/05/2020
Epuisay,41078,DENIAU,Michel,28/06/2020
Les Essarts,41079,SOURIAU,Gilles,18/05/2020
Faverolles-Sur-Cher,41080,RACAULT,Olivier,18/05/2020
Faye,41081,GARNIER,Annette,18/05/2020
