Libellé de la commune,Code de la commune,Nom de l'élu,Prénom de l'élu,Date de début du mandat
Faramans,01156,BROCHIER,Gérard,18/05/2020
Fareins,01157,DUMOULIN,Yves,18/05/2020
Farges,01158,GRAZIOTTI,Monique,18/05/2020
Feillens,01159,BILLOUDET,Guy,18/05/2020
Ferney-Voltaire,01160,RAPHOZ,Daniel,28/06/2020
Flaxieu,01162,BAL,Serge,18/05/2020
Foissiat,01163,PICARD,Jean-Luc,18/05/2020
Francheleins,01165,LUX,Jean-Michel,18/05/2020
Frans,01166,NUGUET,Michelle,18/05/2020
Garnerans,01167,VIOT,Dominique,18/05/2020
Genouilleux,01169,REIGNIER,Alain,18/05/2020
Beard-Géovreissiat,01170,COMTET,Laurent,18/05/2020
Géovreisset,01171,MOREL,Jeannine,18/05/2020
Gex,01173,DUNAND,Patrice,18/05/2020
Giron,01174,MOINE,Florian,18/05/2020
Gorrevod,01175,GUILLERMIN,Henri,18/05/2020
Grand-Corent,01177,RAQUIN,Benjamin,18/05/2020
Grièges,01179,GREMY,Annick,18/05/2020
Grilly,01180,DUPENLOUP,Christine,18/05/2020
Groissiat,01181,DEGUERRY,Patricia,18/05/2020
Guéreins,01183,CLEYET-MARREL,Claude,18/05/2020
Hautecourt-Romanèche,01184,ROCHET,Marc,28/06/2020
Plateau D'Hauteville,01185,EMIN,Philippe,18/05/2020
Haut Valromey,01187,ANCIAN,Bernard,18/05/2020
Illiat,01188,LABALME,Richard,18/05/2020
Injoux-Génissiat,01189,MOSSAZ,Denis,18/05/2020
Innimond,01190,GARDIEN,Serge,18/05/2020
Izenave,01191,DRUET,Thiery,18/05/2020
Izernore,01192,COMUZZI,Sylvie,18/05/2020
Izieu,01193,MARTIN-BARBAZ,Denis,18/05/2020
Jasseron,01195,GOBERT,Sébastien,28/06/2020
Jayat,01196,MOREL,Mickaël,18/05/2020
Journans,01197,TONNELLIER,André,18/05/2020
Joyeux,01198,MATHY,Joël,18/05/2020
Jujurieux,01199,BOLLACHE,Anne,18/05/2020
Labalme,01200,MOLLIE,Frédérique,18/05/2020
Lagnieu,01202,MOINGEON,André,18/05/2020
Laiz,01203,SCHAUVING,Sébastien,18/05/2020
Le Poizat-Lalleyriat,01204,LENSEL,Bernard,18/05/2020
Lantenay,01206,BENOIT,Jean-Louis,18/05/2020
Lapeyrouse,01207,DUBOST,Gilles,18/05/2020
Lavours,01208,CASANOVAS,Chantal,18/05/2020
Léaz,01209,BLANC,Christine,18/05/2020
Lélex,01210,GROSSIORD,Roger,28/06/2020
Lent,01211,CRISTIN,Yves,18/05/2020
Lescheroux,01212,NICOLIER,Aimé,18/05/2020
Leyment,01213,KLINGLER,Lionel,25/09/2022
Leyssard,01214,MOURLEVAT,Michel,18/05/2020
Surjoux-Lhopital,01215,MALFAIT,Frédéric,18/05/2020
Lhuis,01216,GINET,Emmanuel,18/05/2020
Lompnas,01219,JOUX,Alexandre,18/05/2020
Loyettes,01224,GAGNE,Jean Pierre,18/05/2020
Lurcy,01225,BISIGNANO,Nathalie,18/05/2020
Magnieu,01227,GUITTET,Thierry,18/05/2020
Maillat,01228,DUCRET,Jean Cyrille,18/05/2020
Malafretaz,01229,LEROUX,Gary,18/05/2020
Mantenay-Montlin,01230,LEMAIRE,Michel,18/05/2020
